1.000000000000000e+02	1.923393071681342e-03
7.906043210907701e+01	2.432813760779476e-03
6.250551925273973e+01	3.077157176959278e-03
4.941713361323833e+01	3.892158308360657e-03
3.906939937054617e+01	4.923016741156662e-03
3.088843596477482e+01	6.226903407717841e-03
2.442053094548651e+01	7.876131260023362e-03
1.930697728883250e+01	9.962165695583520e-03
1.526417967175233e+01	1.260069601916840e-02
1.206792640639329e+01	1.593801891320278e-02
9.540954763499940e+00	2.015872161293715e-02
7.543120063354615e+00	2.549291202781375e-02
5.963623316594643e+00	3.221680877534335e-02
4.714866363457395e+00	4.063701682014093e-02
3.727593720314940e+00	5.105200469928544e-02
2.947051702551810e+00	6.368822003591736e-02
2.329951810515372e+00	7.861123573671280e-02
1.842069969326716e+00	9.563539077546256e-02
1.456348477501244e+00	1.142872142511081e-01
1.151395399326447e+00	1.338635502372248e-01
9.102981779915218e-01	1.535648279379409e-01
7.196856730011522e-01	1.726411336242656e-01
5.689866029018293e-01	1.904966986599262e-01
4.498432668969444e-01	2.067339231419252e-01
3.556480306223129e-01	2.211474289422346e-01
2.811768697974231e-01	2.336895180503174e-01
2.222996482526196e-01	2.444260350359704e-01
1.757510624854791e-01	2.534946239790130e-01
1.389495494373137e-01	2.610709134534295e-01
1.098541141987558e-01	2.673439098680170e-01
8.685113737513521e-02	2.724996786448734e-01
6.866488450042998e-02	2.767115703885972e-01
5.428675439323859e-02	2.801351812660935e-01
4.291934260128778e-02	2.829065009823434e-01
3.393221771895330e-02	2.851420597565625e-01
2.682695795279725e-02	2.869402235633575e-01
2.120950887920190e-02	2.883830624402794e-01
1.676832936811008e-02	2.895384231138010e-01
1.325711365590108e-02	2.904619831922962e-01
1.048113134154685e-02	2.911991634495758e-01
8.286427728546842e-03	2.917868390752170e-01
6.551285568595509e-03	2.922548277745426e-01
5.179474679231213e-03	2.926271617983791e-01
4.094915062380427e-03	2.929231578122085e-01
3.237457542817640e-03	2.931583055278940e-01
2.559547922699533e-03	2.933450034485557e-01
2.023589647725156e-03	2.934931570936682e-01
1.599858719606057e-03	2.936106698567891e-01
1.264855216855296e-03	2.937038435473268e-01
1.000000000000000e-03	2.937776972711248e-01
