             XT       f1=1,f2=1     f1=1,f2=0.1    f1=1,f2=0.01     f1=1.3,f2=1   f1=1.3,f2=0.1  f1=1.3,f2=0.01     f1=2.8,f2=1   f1=2.8,f2=0.1  f1=2.8,f2=0.01   f1=Inf,f2=Inf 
7.635838544E-01 8.806570285E-02 8.186513854E-02 7.636482543E-02 1.626312268E-01 1.489834253E-01 1.377160660E-01 2.405813267E-01 2.170936867E-01 1.988493354E-01 2.418411871E-01
7.803501299E-01 8.734445109E-02 8.121520919E-02 7.575974974E-02 1.612382159E-01 1.477026825E-01 1.365333353E-01 2.384262645E-01 2.150827712E-01 1.970100524E-01 2.396733067E-01
7.974845483E-01 8.659307244E-02 8.055112579E-02 7.514449691E-02 1.597880499E-01 1.463959670E-01 1.353322686E-01 2.361844581E-01 2.130340861E-01 1.951446761E-01 2.374181936E-01
8.149951931E-01 8.581193116E-02 7.987452084E-02 7.451906358E-02 1.582814671E-01 1.450662959E-01 1.341130605E-01 2.338571167E-01 2.109521079E-01 1.932537823E-01 2.350770652E-01
8.328903252E-01 8.500132642E-02 7.918558545E-02 7.388526476E-02 1.567190934E-01 1.437142570E-01 1.328790143E-01 2.314452946E-01 2.088380560E-01 1.913421893E-01 2.326509836E-01
8.511783869E-01 8.415888259E-02 7.848386993E-02 7.324020454E-02 1.550965643E-01 1.423389637E-01 1.316250937E-01 2.289425868E-01 2.066905487E-01 1.894028961E-01 2.301335113E-01
8.698680060E-01 8.328491539E-02 7.776964247E-02 7.258655236E-02 1.534145574E-01 1.409411476E-01 1.303560650E-01 2.263501589E-01 2.045110178E-01 1.874427216E-01 2.275258226E-01
8.889679994E-01 8.237462776E-02 7.704063007E-02 7.192049237E-02 1.516642067E-01 1.395165198E-01 1.290650841E-01 2.236549027E-01 2.022930020E-01 1.854518423E-01 2.248147411E-01
9.084873781E-01 8.143346384E-02 7.630040120E-02 7.124690291E-02 1.498557987E-01 1.380721184E-01 1.277612242E-01 2.208724098E-01 2.000475546E-01 1.834437521E-01 2.220159462E-01
9.284353505E-01 8.045670222E-02 7.554729127E-02 7.056288982E-02 1.479806353E-01 1.366046804E-01 1.264392274E-01 2.179898648E-01 1.977695900E-01 1.814108080E-01 2.191165563E-01
9.488213275E-01 7.944231849E-02 7.478044725E-02 6.986763778E-02 1.460350751E-01 1.351127253E-01 1.250976761E-01 2.150020498E-01 1.954570634E-01 1.793510408E-01 2.161113293E-01
9.696549264E-01 7.839315190E-02 7.400160367E-02 6.916396024E-02 1.440245766E-01 1.335998332E-01 1.237418303E-01 2.119173875E-01 1.931158069E-01 1.772723085E-01 2.130087374E-01
9.909459759E-01 7.730487036E-02 7.320925387E-02 6.844928207E-02 1.419412201E-01 1.320630754E-01 1.223670371E-01 2.087243062E-01 1.907412908E-01 1.751678826E-01 2.097971511E-01
1.012704520E+00 7.617806120E-02 7.240394494E-02 6.772525556E-02 1.397830382E-01 1.305037002E-01 1.209763281E-01 2.054194660E-01 1.883357014E-01 1.730422140E-01 2.064786940E-01
1.034940825E+00 7.501400628E-02 7.158668779E-02 6.699164483E-02 1.375370330E-01 1.289237075E-01 1.195695418E-01 2.019815258E-01 1.859021836E-01 1.708954364E-01 2.030555073E-01
1.057665379E+00 7.381014832E-02 7.075525346E-02 6.624734521E-02 1.351988268E-01 1.273190594E-01 1.181445596E-01 1.984041346E-01 1.834348849E-01 1.687243167E-01 1.995173625E-01
1.080888905E+00 7.257081634E-02 6.991271975E-02 6.549390385E-02 1.327775869E-01 1.256955161E-01 1.167044836E-01 1.947019903E-01 1.809424247E-01 1.665337622E-01 1.958732797E-01
1.104622357E+00 7.129594764E-02 6.905773282E-02 6.473179588E-02 1.302747681E-01 1.240508627E-01 1.152501019E-01 1.908781164E-01 1.784219279E-01 1.643248148E-01 1.921199655E-01
1.128876933E+00 6.998358364E-02 6.818873232E-02 6.395797796E-02 1.276886669E-01 1.223822281E-01 1.137760994E-01 1.869307044E-01 1.758691680E-01 1.620900373E-01 1.882488162E-01
1.153664076E+00 6.863827993E-02 6.730836789E-02 6.317603889E-02 1.250293602E-01 1.206946605E-01 1.122889774E-01 1.828756846E-01 1.732918142E-01 1.598388512E-01 1.842695872E-01
1.178995478E+00 6.726044414E-02 6.641624160E-02 6.238502259E-02 1.222992426E-01 1.189875423E-01 1.107871569E-01 1.787175246E-01 1.706891136E-01 1.575691714E-01 1.801804753E-01
1.204883091E+00 6.585068444E-02 6.551234539E-02 6.158413979E-02 1.195011310E-01 1.172609055E-01 1.092693592E-01 1.744613196E-01 1.680611741E-01 1.552793433E-01 1.759803544E-01
1.231339126E+00 6.440981107E-02 6.459551679E-02 6.077395131E-02 1.166387685E-01 1.155129569E-01 1.077365610E-01 1.701132865E-01 1.654058261E-01 1.529707246E-01 1.716688158E-01
1.258376067E+00 6.294071417E-02 6.366786726E-02 5.995512756E-02 1.137187152E-01 1.137474994E-01 1.061901489E-01 1.656843154E-01 1.627285466E-01 1.506455498E-01 1.672515479E-01
1.286006666E+00 6.144447656E-02 6.272891339E-02 5.912706159E-02 1.107452184E-01 1.119638400E-01 1.046291721E-01 1.611813335E-01 1.600285765E-01 1.483026315E-01 1.627293747E-01
1.314243961E+00 5.992237991E-02 6.177830353E-02 5.829031676E-02 1.077223889E-01 1.101615222E-01 1.030546232E-01 1.566112852E-01 1.573054931E-01 1.459433632E-01 1.581039659E-01
1.343101271E+00 5.837764533E-02 6.081754499E-02 5.744531336E-02 1.046579347E-01 1.083433787E-01 1.014674784E-01 1.519863910E-01 1.545635324E-01 1.435694349E-01 1.533828819E-01
1.372592212E+00 5.681011128E-02 5.984536506E-02 5.659138249E-02 1.015582287E-01 1.065071892E-01 9.986649901E-02 1.473097587E-01 1.517995814E-01 1.411790066E-01 1.485643927E-01
1.402730695E+00 5.522493998E-02 5.886405928E-02 5.573025091E-02 9.844008537E-02 1.046573554E-01 9.825501834E-02 1.425985451E-01 1.490203376E-01 1.387771661E-01 1.436625069E-01
1.433530939E+00 5.362229307E-02 5.787270236E-02 5.486100201E-02 9.530467461E-02 1.027922310E-01 9.663140532E-02 1.378566703E-01 1.462234398E-01 1.363615769E-01 1.386773641E-01
1.465007475E+00 5.200424980E-02 5.687126229E-02 5.398368528E-02 9.215642940E-02 1.009119293E-01 9.499583878E-02 1.330929297E-01 1.434092676E-01 1.339326017E-01 1.336151525E-01
1.497175152E+00 5.037456707E-02 5.586128956E-02 5.309948944E-02 8.900265651E-02 9.901934903E-02 9.335055398E-02 1.283202004E-01 1.405821253E-01 1.314935705E-01 1.284875420E-01
1.530049146E+00 4.873550680E-02 5.484298598E-02 5.220848921E-02 8.584812109E-02 9.711496725E-02 9.169576698E-02 1.235473853E-01 1.377428338E-01 1.290448857E-01 1.233025290E-01
1.563644966E+00 4.708805987E-02 5.381523544E-02 5.130978764E-02 8.269527493E-02 9.519694378E-02 9.002994201E-02 1.187799654E-01 1.348889483E-01 1.265844230E-01 1.180650697E-01
1.597978461E+00 4.543764629E-02 5.278101616E-02 5.040543477E-02 7.955387657E-02 9.327067595E-02 8.835689240E-02 1.140342814E-01 1.320282695E-01 1.241178144E-01 1.127937943E-01
1.633065828E+00 4.378546207E-02 5.173916728E-02 4.949503899E-02 7.642675630E-02 9.133427042E-02 8.667590515E-02 1.093159170E-01 1.291583077E-01 1.216440052E-01 1.074957341E-01
1.668923621E+00 4.213427117E-02 5.069044278E-02 4.857846757E-02 7.331890236E-02 8.938910452E-02 8.498689131E-02 1.046339782E-01 1.262810477E-01 1.191630414E-01 1.021832630E-01
1.705568755E+00 4.048692560E-02 4.963520332E-02 4.765625037E-02 7.023569731E-02 8.743595942E-02 8.329083435E-02 9.999757336E-02 1.233977626E-01 1.166763568E-01 9.686977874E-02
1.743018520E+00 3.884634763E-02 4.857412641E-02 4.672874912E-02 6.718236665E-02 8.547610781E-02 8.158844992E-02 9.541562104E-02 1.205103272E-01 1.141850431E-01 9.156963620E-02
1.781290582E+00 3.721664249E-02 4.750858635E-02 4.579707696E-02 6.416602155E-02 8.351214696E-02 7.988182327E-02 9.089978685E-02 1.176226138E-01 1.116921828E-01 8.630137302E-02
1.820402997E+00 3.559958973E-02 4.643818010E-02 4.486107598E-02 6.118982226E-02 8.154343957E-02 7.817066556E-02 8.645542276E-02 1.147337890E-01 1.091973319E-01 8.107735939E-02
1.860374217E+00 3.399820575E-02 4.536381260E-02 4.392091959E-02 5.825878779E-02 7.957161579E-02 7.645539930E-02 8.209069458E-02 1.118461694E-01 1.067012147E-01 7.591418465E-02
1.901223099E+00 3.241648810E-02 4.428693055E-02 4.297806332E-02 5.537957344E-02 7.759936533E-02 7.473863955E-02 7.781594288E-02 1.089637051E-01 1.042075624E-01 7.083175801E-02
1.942968914E+00 3.085632602E-02 4.320742688E-02 4.203208444E-02 5.255514201E-02 7.562653343E-02 7.301969766E-02 7.363579393E-02 1.060861881E-01 1.017154500E-01 6.584421313E-02
1.985631356E+00 2.932063844E-02 4.212610272E-02 4.108368576E-02 4.979008048E-02 7.365459470E-02 7.129983659E-02 6.955718127E-02 1.032157479E-01 9.922666608E-02 6.096890024E-02
2.029230552E+00 2.781226698E-02 4.104378956E-02 4.013345983E-02 4.708874716E-02 7.168506677E-02 6.958014182E-02 6.558651780E-02 1.003545599E-01 9.674276890E-02 5.622298258E-02
2.073787071E+00 2.633314076E-02 3.996061703E-02 3.918132265E-02 4.445385832E-02 6.971819949E-02 6.786049198E-02 6.172768109E-02 9.750296850E-02 9.426359473E-02 5.162092627E-02
2.119321933E+00 2.488755042E-02 3.887888858E-02 3.822924590E-02 4.189205859E-02 6.775814241E-02 6.614442122E-02 5.799000392E-02 9.466691114E-02 9.179417857E-02 4.718340557E-02
2.165856620E+00 2.347566279E-02 3.779751813E-02 3.727595442E-02 3.940291618E-02 6.580290967E-02 6.442966420E-02 5.437254340E-02 9.184345464E-02 8.933127374E-02 4.291913278E-02
2.213413085E+00 2.210141791E-02 3.671876609E-02 3.632352214E-02 3.699234296E-02 6.385656404E-02 6.271989811E-02 5.088323348E-02 8.903839801E-02 8.688006899E-02 3.884637162E-02
2.262013763E+00 2.076630336E-02 3.564299155E-02 3.537195018E-02 3.466200390E-02 6.191970160E-02 6.101513910E-02 4.752387287E-02 8.625249747E-02 8.444057654E-02 3.497568497E-02
2.311681584E+00 1.947237537E-02 3.457116305E-02 3.442208464E-02 3.241449584E-02 5.999402805E-02 5.931685599E-02 4.429742500E-02 8.348812084E-02 8.201481271E-02 3.131793950E-02
2.362439978E+00 1.822090370E-02 3.350375769E-02 3.347406060E-02 3.025106472E-02 5.808033306E-02 5.762528761E-02 4.120485878E-02 8.074627964E-02 7.960308698E-02 2.788059652E-02
2.414312892E+00 1.701360938E-02 3.244186158E-02 3.252878626E-02 2.817366335E-02 5.618049320E-02 5.594199813E-02 3.824804393E-02 7.802953708E-02 7.720753260E-02 2.467067642E-02
2.467324798E+00 1.585196712E-02 3.138652391E-02 3.158709939E-02 2.618382753E-02 5.429631678E-02 5.426843213E-02 3.542815741E-02 7.534035607E-02 7.483011968E-02 2.169280437E-02
2.521500704E+00 1.473673343E-02 3.033829931E-02 3.064927382E-02 2.428186975E-02 5.242871141E-02 5.260504703E-02 3.274463904E-02 7.267989234E-02 7.247143424E-02 1.894811578E-02
2.576866169E+00 1.366896793E-02 2.929835331E-02 2.971625727E-02 2.246861480E-02 5.057964284E-02 5.095345080E-02 3.019755916E-02 7.005077258E-02 7.013364005E-02 1.643656024E-02
2.633447313E+00 1.264946067E-02 2.826779848E-02 2.878889231E-02 2.074444365E-02 4.875098147E-02 4.931507749E-02 2.778633479E-02 6.745548707E-02 6.781866958E-02 1.415554862E-02
2.691270829E+00 1.167836296E-02 2.724720821E-02 2.786760354E-02 1.910869233E-02 4.694365354E-02 4.769061139E-02 2.550893040E-02 6.489520259E-02 6.552738267E-02 1.209936593E-02
2.750363996E+00 1.075567506E-02 2.623731415E-02 2.695294172E-02 1.756048339E-02 4.515881935E-02 4.608093569E-02 2.336299300E-02 6.237136185E-02 6.326089216E-02 1.026037386E-02
2.810754692E+00 9.881552184E-03 2.523925209E-02 2.604575417E-02 1.609920956E-02 4.339836383E-02 4.448748142E-02 2.134655075E-02 5.988644649E-02 6.102111398E-02 8.629657337E-03
2.872471408E+00 9.055594221E-03 2.425373244E-02 2.514663675E-02 1.472339417E-02 4.166340675E-02 4.291119475E-02 1.945645152E-02 5.744184116E-02 5.880923140E-02 7.195979592E-03
2.935543259E+00 8.277506647E-03 2.328189727E-02 2.425654573E-02 1.343176599E-02 3.995581321E-02 4.135365560E-02 1.768984014E-02 5.503996437E-02 5.662732021E-02 5.947163688E-03
3.000000000E+00 7.546504264E-03 2.232447758E-02 2.337601103E-02 1.222230103E-02 3.827671499E-02 3.981570087E-02 1.604287300E-02 5.268219134E-02 5.447641975E-02 4.869458989E-03
