             XT               P               v             tau
3.880000000E+00 1.928052758E-04 2.410065948E-04 3.219828904E+04
3.890000000E+00 1.848986859E-04 2.311233574E-04 3.366167785E+04
3.900000000E+00 1.772962231E-04 2.216202789E-04 3.519533519E+04
3.910000000E+00 1.699870850E-04 2.124838563E-04 3.680279593E+04
3.920000000E+00 1.629608144E-04 2.037010180E-04 3.848778017E+04
3.930000000E+00 1.562072898E-04 1.952591123E-04 4.025420330E+04
3.940000000E+00 1.497167164E-04 1.871458955E-04 4.210618662E+04
3.950000000E+00 1.434796167E-04 1.793495209E-04 4.404806859E+04
3.960000000E+00 1.374868221E-04 1.718585276E-04 4.608441671E+04
3.970000000E+00 1.317294636E-04 1.646618295E-04 4.822003997E+04
3.980000000E+00 1.261989640E-04 1.577487050E-04 5.046000219E+04
3.990000000E+00 1.208870292E-04 1.511087864E-04 5.280963594E+04
4.000000000E+00 1.157856399E-04 1.447320499E-04 5.527455740E+04
